KldbCode,code,Classification 2 PrefLabel
B 29262-103,7512.2,Fachkraft für Süßwarentechnik Fachrichtung Schokolade
B 27212-119,3118.3.2,Bauzeichner/Bauzeichnerin Schwerpunkt Architektur
B 93323-100,2651.1,Kunstmaler/Kunstmalerin
B 93522-108,7313.1.3,Edelsteingraveur/Edelsteingraveurin
B 93522-203,7313.1.3,Edelsteinschleifer/Edelsteinschleiferin Fachrichtung Edelsteingravieren
B 73334-107,2622.1,Informationswissenschaftler/Informationswissenschaftlerin
B 61194-128,1324.8.2,Leiter/Leiterin des Einkaufs
B 73322-101,4411.1,Fachangestellter/Fachangestellte für Medien- und Informationsdienste Fachrichtung Bibliothek
B 73322-104,4411.1,Assistent/Assistentin an Bibliotheken
B 29232-100,7511.1,Fleischer/Fleischerin
B 27212-101,3118.3.11,Technischer Zeichner/Technische Zeichnerin Fachrichtung Maschinen- und Anlagentechnik
B 51134-104,3115.1.9,Schiffsinspektor/Schiffsinspektorin (Nautik/Technik)
B 26313-197,3114.1.2,Komponentenentwickler/Komponentenentwicklerin
B 72124-108,2412.6,Vermögensberater/Vermögensberaterin
B 72124-102,2412.6,Anlageberater/Anlageberaterin
B 81783-106,3423.2.4,Sporttherapeut/Sporttherapeutin
B 62262-107,5223.7.28,Fachverkäufer/Fachverkäuferin für Zoobedarf und Heimtierverkauf
B 82532-103,5223.7.3,Hörakustiker/Hörakustikerin
B 61194-147,1420.6,Bezirksleiter/Bezirksleiterin
B 21342-119,7316.2,Glasveredler/Glasveredlerin Fachrichtung Schliff und Gravur
B 21342-108,7316.2,Glasveredler/Glasveredlerin Fachrichtung Gravur
B 21342-122,7316.2,Glasgraveur/Glasgraveurin
B 24232-142,7223.4.5,Metallsäger/Metallsägerin
B 52182-115,9331.1,Fahrradkurier/Fahrradkurierin
B 61212-135,3324.4,Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement Fachrichtung Großhandel
B 61212-102,3324.4,Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Großhandel
B 84543-109,3422.3.1,Fußballtrainer/Fußballtrainerin (staatlich geprüft)
B 25201-103,7231.8,Helfer/Helferin für Fahrzeugbau und -instandhaltung
B 72123-111,3311.3.5,Börsenhändler/Börsenhändlerin
B 84124-119,2341.1.1,Lehrer/Lehrerin an Waldorfschulen
B 93602-100,7312.5,Musikinstrumentenbauer/Musikinstrumentenbauerin
B 51533-100,3154.1,Fluglotse/Fluglotsin
B 61162-100,5249.3,Vermietassistent/Vermietassistentin (Kfz)
B 34213-101,3115.1.5,"Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Heizungs-, Lüftungs-, Klimatechnik"
B 84183-101,2359.11,Lernbetreuer/Lernbetreuerin
B 81743-101,2269.9.4,Musiktherapeut/Musiktherapeutin
B 28312-178,8155.1,Fachkraft für Lederherstellung und Gerbereitechnik
B 28312-101,8155.1,Gerber/Gerberin
B 27104-113,2149.2.8,Forschungs- und Entwicklungsingenieur/Forschungs- und Entwicklungsingenieurin
B 72294-122,1211.1.4,Leiter/Leiterin - Treasury
B 26312-140,3512.4,Informations- und Telekommunikationssystem-Elektroniker/Informations- und Telekommunikationssystem-Elektronikerin
B 84503-100,3422.3,Staatlich geprüfter Sportlehrer/Staatlich geprüfte Sportlehrerin
B 84504-106,3422.3,Sportpädagoge/Sportpädagogin
B 21212-116,8112.4,Naturwerksteinmechaniker/Naturwerksteinmechanikerin Fachrichtung Maschinenbearbeitungstechnik
B 41254-100,2131.4.13,Toxikologe/Toxikologin
B 81634-100,2619.9,Mediator/Mediatorin
B 93422-104,7316.1,Glas- und Porzellanmaler/Glas- und Porzellanmalerin
B 21112-101,8111.4,Bergmechaniker/Bergmechanikerin
B 71524-114,3333.1,Arbeitsvermittler/Arbeitsvermittlerin
B 51113-101,3115.1.21,Wagenmeister/Wagenmeisterin (Schienenverkehr)
B 42293-101,7133.4,Schornsteinfegermeister/Schornsteinfegermeisterin
B 22322-102,8172.5.2,Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin Fachrichtung Hobelindustrie
B 41254-101,2632.3,Verhaltensforscher/Verhaltensforscherin
B 25213-102,3115.1.4,Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Kraftfahrzeugtechnik
B 52122-150,8332.2,Tankwagenfahrer/Tankwagenfahrerin
B 94144-102,2652.1.1,Arrangeur/Arrangeurin
B 11194-104,6130.1,Betriebsleiter/Betriebsleiterin - landwirtschaftlich
B 43323-103,2514.1,IT-Konfigurationskoordinator/IT-Konfigurationskoordinatorin
B 32242-102,8113.9,Brunnenbauer/Brunnenbauerin
B 32201-117,9312.1,Helfer/Helferin im Tiefbau
B 52383-103,3153.2.4,Berufshubschrauberführer/Berufshubschrauberführerin (CPL (H))
B 53142-100,9129.3,Badewärter/Badewärterin (Schwimmbad)
B 92113-134,2431.10,Betriebswirt/Betriebswirtin (Fachschule) für Absatz/Marketing
B 92114-107,2431.10,Betriebswirt/Betriebswirtin (Hochschule) für Marketing
B 92113-183,2431.10,Geprüfter Fachwirt/Geprüfte Fachwirtin für Marketing
B 92112-102,2431.10.3,Marketingfachkraft / Marketingassistent/Marketingassistentin
B 23323-100,3431.2,Pressefotograf/Pressefotografin
B 23323-105,3431.2,Bildjournalist/Bildjournalistin
B 91184-110,2152.1.4,Computerlinguist/Computerlinguistin
B 82322-125,5142.8,Fußpfleger/Fußpflegerin (kosmetisch)
B 23224-104,2166.3,Computer-Animator/Computer-Animatorin
B 26212-103,7411.1,Elektroinstallateur/Elektroinstallateurin
